epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.01427,0.998901,0.012228,0.996976,0.996996,0.003024,0.003391906864453026,175.56,1000.1,1
2,0.003801,0.999408,0.012332,0.997079,0.997093,0.002921,0.002454406864453026,167.42,1048.8,1
3,0.002999,0.99951,0.01203,0.997079,0.997095,0.002921,0.0012955931355469737,165.96,1058.0,1
4,0.002633,0.999522,0.012175,0.996976,0.996991,0.003024,0.00035809313554697374,166.21,1056.4,0
5,0.002476,0.99955,0.012195,0.997079,0.997093,0.002921,0.0,162.85,1078.2,0
