epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.0534,0.994464,0.016286,0.996259,0.996288,0.003741,0.003391906864453026,167.51,1048.2,1
2,0.008974,0.998109,0.014474,0.996617,0.99664,0.003383,0.002454406864453026,160.14,1096.4,1
3,0.006633,0.998713,0.013493,0.996566,0.996573,0.003434,0.0012955931355469737,160.1,1096.7,0
4,0.006044,0.998713,0.013257,0.996771,0.996789,0.003229,0.00035809313554697374,160.28,1095.5,1
5,0.005563,0.998838,0.013014,0.996617,0.996633,0.003383,0.0,160.16,1096.3,0
