epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.460142,0.871019,0.038212,0.989391,0.989464,0.010609,0.0187636761487965,130.76,1006.5,1
2,0.032039,0.990336,0.046165,0.986162,0.98617,0.013838,0.0375,130.43,1009.1,0
3,0.024242,0.993002,0.023079,0.993747,0.993753,0.006253,0.0373821039354983,122.15,1077.5,1
4,0.016928,0.995168,0.028878,0.991748,0.991739,0.008252,0.03702989835340919,122.01,1078.7,0
5,0.013508,0.996216,0.020169,0.994516,0.994546,0.005484,0.03644781244328189,122.01,1078.7,1
6,0.011014,0.996991,0.017441,0.994721,0.994746,0.005279,0.03564316627317036,122.36,1075.7,1
7,0.010771,0.997022,0.019779,0.994465,0.994471,0.005535,0.03462607873553033,122.35,1075.7,0
8,0.009149,0.997402,0.017658,0.99508,0.995075,0.00492,0.03340934029627556,122.72,1072.5,1
9,0.008709,0.997402,0.018098,0.995387,0.995401,0.004613,0.032008252147247764,122.25,1076.6,1
10,0.008088,0.997766,0.023901,0.994003,0.994031,0.005997,0.030440433784851253,122.66,1073.0,0
11,0.007025,0.997933,0.023639,0.993235,0.993214,0.006765,0.02872560143466256,124.29,1058.9,0
12,0.007259,0.997918,0.022192,0.993952,0.994006,0.006048,0.02688532010845421,122.96,1070.4,0
13,0.006941,0.997971,0.020751,0.994721,0.994761,0.005279,0.024942732411659386,127.02,1036.2,0
14,0.005107,0.99845,0.016933,0.995746,0.99576,0.004254,0.022922267511680892,127.52,1032.1,1
15,0.00351,0.999088,0.01898,0.994823,0.994832,0.005177,0.02084933392693702,133.49,986.0,0
16,0.003996,0.998853,0.018647,0.995438,0.995452,0.004562,0.01875,128.44,1024.8,0
17,0.003329,0.999081,0.020956,0.995643,0.99566,0.004357,0.016650666073062977,121.17,1086.2,0
18,0.002574,0.999271,0.017349,0.996002,0.996016,0.003998,0.014577732488319105,120.62,1091.2,1
19,0.001843,0.999483,0.018893,0.996207,0.996221,0.003793,0.012557267588340623,120.66,1090.8,1
20,0.001658,0.999499,0.015726,0.996617,0.996642,0.003383,0.010614679891545785,122.9,1070.9,1
21,0.001236,0.999582,0.018327,0.996207,0.996226,0.003793,0.008774398565337441,120.53,1092.0,0
22,0.000941,0.999704,0.017047,0.996771,0.996792,0.003229,0.007059566215148747,120.55,1091.8,1
23,0.000667,0.99984,0.017655,0.996925,0.996942,0.003075,0.005491747852752235,120.65,1090.9,1
24,0.000527,0.999878,0.017502,0.996822,0.99684,0.003178,0.004090659703724441,120.47,1092.5,0
25,0.000459,0.999894,0.017159,0.996925,0.996942,0.003075,0.0028739212644696725,120.36,1093.6,0
26,0.000417,0.999901,0.016855,0.996822,0.996845,0.003178,0.001856833726829643,120.87,1088.9,0
27,0.000337,0.999924,0.016749,0.996925,0.996945,0.003075,0.001052187556718108,120.72,1090.3,1
28,0.000392,0.999878,0.017876,0.996771,0.996794,0.003229,0.0004701016465908071,120.79,1089.7,0
29,0.000334,0.999924,0.017301,0.996822,0.996848,0.003178,0.00011789606450170116,120.49,1092.3,0
30,0.000323,0.999924,0.016695,0.996925,0.996945,0.003075,0.0,120.63,1091.1,0
