epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.447027,0.876122,0.035419,0.989493,0.989491,0.010507,0.018760251503553853,169.12,1038.2,1
2,0.027287,0.992146,0.027008,0.992517,0.992504,0.007483,0.0375,161.29,1088.6,1
3,0.019155,0.99451,0.030715,0.990672,0.990691,0.009328,0.0373821039354983,161.15,1089.6,0
4,0.01345,0.996104,0.016231,0.995797,0.995826,0.004203,0.03702989835340919,161.4,1087.9,1
5,0.012022,0.996571,0.019704,0.994362,0.994392,0.005638,0.03644781244328189,161.26,1088.8,0
6,0.010655,0.996851,0.018766,0.994926,0.994944,0.005074,0.03564316627317036,161.51,1087.2,0
7,0.010416,0.996953,0.017549,0.995336,0.99533,0.004664,0.03462607873553033,161.36,1088.1,0
8,0.008795,0.997483,0.02158,0.994721,0.994754,0.005279,0.03340934029627556,161.81,1085.1,0
9,0.007801,0.997745,0.016911,0.995592,0.995599,0.004408,0.032008252147247764,161.28,1088.7,0
10,0.008086,0.997602,0.019642,0.994977,0.99501,0.005023,0.030440433784851253,161.52,1087.1,0
11,0.008569,0.997528,0.02015,0.99426,0.994255,0.00574,0.02872560143466256,161.46,1087.5,0
12,0.006803,0.998018,0.016883,0.996156,0.996181,0.003844,0.02688532010845421,161.42,1087.8,1
13,0.006265,0.998115,0.01569,0.995285,0.995288,0.004715,0.024942732411659386,161.31,1088.5,0
14,0.005587,0.998348,0.024396,0.994516,0.994496,0.005484,0.022922267511680892,161.47,1087.4,0
15,0.005061,0.998645,0.014329,0.996259,0.996273,0.003741,0.02084933392693702,161.22,1089.1,1
16,0.004636,0.998622,0.015359,0.995951,0.995976,0.004049,0.01875,161.14,1089.6,0
17,0.003362,0.999117,0.015593,0.996617,0.996627,0.003383,0.016650666073062977,161.46,1087.5,1
18,0.002916,0.999117,0.013085,0.996259,0.996284,0.003741,0.014577732488319105,161.13,1089.7,0
19,0.00206,0.999396,0.013625,0.996566,0.996592,0.003434,0.012557267588340623,161.46,1087.5,0
20,0.001552,0.999544,0.01368,0.996925,0.996944,0.003075,0.010614679891545785,161.39,1088.0,1
21,0.001472,0.99963,0.015991,0.996771,0.996797,0.003229,0.008774398565337441,161.33,1088.4,0
22,0.001011,0.999766,0.014295,0.997489,0.997498,0.002511,0.007059566215148747,161.17,1089.4,1
23,0.000964,0.999772,0.01427,0.99713,0.997153,0.00287,0.005491747852752235,161.33,1088.3,0
24,0.000601,0.999846,0.016088,0.997027,0.997048,0.002973,0.004090659703724441,161.28,1088.7,0
25,0.00054,0.999875,0.014837,0.997284,0.997305,0.002716,0.0028739212644696725,161.29,1088.6,0
26,0.000547,0.999869,0.015155,0.997284,0.997304,0.002716,0.001856833726829643,161.48,1087.4,0
27,0.00046,0.999897,0.015506,0.997232,0.997255,0.002768,0.001052187556718108,161.24,1089.0,0
28,0.000347,0.999926,0.015306,0.997284,0.997308,0.002716,0.0004701016465908071,161.3,1088.5,0
29,0.000419,0.999915,0.015003,0.997489,0.997509,0.002511,0.00011789606450170116,161.18,1089.4,1
30,0.000398,0.999909,0.015362,0.997437,0.997454,0.002563,0.0,161.44,1087.6,0
