epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.000666,0.999897,0.013639,0.99713,0.997145,0.00287,0.003391906864453026,219.0,801.8,1
2,0.000615,0.999909,0.013357,0.997232,0.997249,0.002768,0.002454406864453026,204.22,859.8,1
3,0.000591,0.99992,0.013775,0.99713,0.997147,0.00287,0.0012955931355469737,203.79,861.6,0
4,0.000525,0.999926,0.013921,0.997079,0.997096,0.002921,0.00035809313554697374,202.41,867.5,0
5,0.000521,0.999932,0.014155,0.996976,0.996995,0.003024,0.0,203.14,864.3,0
