epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.204145,0.959968,0.027546,0.99344,0.993444,0.00656,0.003391906864453026,167.51,1048.2,1
2,0.02452,0.994276,0.021781,0.994516,0.994516,0.005484,0.002454406864453026,159.85,1098.4,1
3,0.016941,0.996173,0.019438,0.994413,0.994399,0.005587,0.0012955931355469737,159.81,1098.7,0
4,0.014761,0.996674,0.018539,0.994721,0.994723,0.005279,0.00035809313554697374,159.98,1097.5,1
5,0.013483,0.99701,0.018638,0.994977,0.994981,0.005023,0.0,159.78,1098.9,1
