epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.567623,0.842428,0.05875,0.982933,0.982738,0.017067,0.018770514223194746,87.94,997.8,1
2,0.037108,0.989196,0.042365,0.987699,0.987621,0.012301,0.0375,80.44,1090.8,1
3,0.028413,0.991418,0.027309,0.992517,0.992569,0.007483,0.0373821039354983,80.58,1088.9,1
4,0.017209,0.995145,0.031053,0.991543,0.991662,0.008457,0.03702989835340919,80.61,1088.6,0
5,0.014919,0.995532,0.025714,0.993542,0.993545,0.006458,0.03644781244328189,80.7,1087.3,1
6,0.013379,0.996239,0.028099,0.992927,0.992926,0.007073,0.03564316627317036,80.69,1087.5,0
7,0.010068,0.997071,0.023773,0.99385,0.993854,0.00615,0.03462607873553033,80.75,1086.7,1
8,0.009702,0.997219,0.026336,0.992978,0.992967,0.007022,0.03340934029627556,80.55,1089.3,0
9,0.006881,0.997926,0.021124,0.994926,0.99492,0.005074,0.032008252147247764,80.79,1086.1,1
10,0.006953,0.998108,0.0236,0.993952,0.99392,0.006048,0.030440433784851253,80.73,1086.9,0
11,0.005953,0.998222,0.018256,0.995695,0.995717,0.004305,0.02872560143466256,80.62,1088.3,1
12,0.005463,0.998473,0.018767,0.995695,0.995714,0.004305,0.02688532010845421,80.42,1091.1,0
13,0.003881,0.998838,0.018164,0.995797,0.995802,0.004203,0.024942732411659386,80.56,1089.2,1
14,0.002453,0.999339,0.016699,0.996054,0.996069,0.003946,0.022922267511680892,80.62,1088.3,1
15,0.00279,0.999157,0.021958,0.995182,0.995188,0.004818,0.02084933392693702,80.87,1085.0,0
16,0.002427,0.999362,0.018921,0.994977,0.994989,0.005023,0.01875,80.49,1090.1,0
17,0.002006,0.99943,0.018153,0.995951,0.995966,0.004049,0.016650666073062977,80.66,1087.8,0
18,0.001057,0.999772,0.017398,0.99631,0.99632,0.00369,0.014577732488319105,80.56,1089.2,1
19,0.001071,0.999749,0.019305,0.996054,0.996072,0.003946,0.012557267588340623,80.55,1089.3,0
20,0.000708,0.999852,0.016828,0.996617,0.996627,0.003383,0.010614679891545785,80.66,1087.9,1
21,0.000455,0.99992,0.017655,0.996822,0.996833,0.003178,0.008774398565337441,80.53,1089.5,1
22,0.000323,0.999943,0.016728,0.996976,0.996988,0.003024,0.007059566215148747,80.54,1089.5,1
23,0.000349,0.999897,0.017146,0.996874,0.996884,0.003126,0.005491747852752235,80.43,1090.9,0
24,0.000209,0.999977,0.016795,0.996976,0.996987,0.003024,0.004090659703724441,80.36,1091.9,0
25,0.000203,0.999966,0.016942,0.996925,0.996934,0.003075,0.0028739212644696725,80.53,1089.6,0
26,0.000165,1.0,0.017472,0.996925,0.996936,0.003075,0.001856833726829643,80.64,1088.1,0
27,0.000221,0.999966,0.017704,0.996976,0.996984,0.003024,0.001052187556718108,80.53,1089.5,0
28,0.000166,1.0,0.016936,0.996874,0.996885,0.003126,0.0004701016465908071,87.85,998.8,0
29,0.000166,1.0,0.017285,0.996925,0.996934,0.003075,0.00011789606450170116,80.39,1091.5,0
30,0.000188,0.999977,0.017689,0.996976,0.996983,0.003024,0.0,81.84,1072.2,0
