epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.015581,0.997562,0.015432,0.996412,0.996417,0.003588,0.003391906864453026,216.55,810.8,1
2,0.005929,0.998793,0.013667,0.99631,0.996319,0.00369,0.002454406864453026,203.68,862.1,0
3,0.004497,0.999203,0.013307,0.996669,0.996685,0.003331,0.0012955931355469737,204.57,858.3,1
4,0.003728,0.999311,0.013495,0.99672,0.996733,0.00328,0.00035809313554697374,201.57,871.1,1
5,0.003338,0.99943,0.013336,0.996976,0.996988,0.003024,0.0,201.9,869.6,1
