run,arch,frac,seed,stage,n_fit,epochs_run,best_epoch,stopped_early,acc,f1_macro,error_rate,n_errors,error_ratio_vs_100
eixo4_resnet50_f050_s1,resnet50,50,1,dense+trt-int8,87798,30,19,False,0.9969621948740028,0.9969754954086607,0.0030378051259971617,254,1.4941176470588364
eixo4_resnet50_f050_s2,resnet50,50,2,dense,87798,30,30,False,0.9975362682836401,0.9975553547043751,0.0024637317163599404,206,1.2484848484848659
eixo4_resnet50_f050_s2,resnet50,50,2,dense+trt-int8,87798,30,30,False,0.9975243084209393,0.9975381628436035,0.0024756915790606904,207,1.2937499999999906
eixo4_resnet50_f075_s0,resnet50,75,0,dense,131693,30,27,False,0.997811345125758,0.9978302733646992,0.002188654874242024,183,1.0338983050847235
eixo4_resnet50_f075_s0,resnet50,75,0,dense+trt-int8,131693,30,27,False,0.9976917464987501,0.9977120786360033,0.0023082535012498573,193,1.115606936416199
eixo4_resnet50_f075_s1,resnet50,75,1,dense,131693,30,30,False,0.9977395859495533,0.9977574530132924,0.0022604140504467463,189,1.0988372093023226
eixo4_resnet50_f075_s1,resnet50,75,1,dense+trt-int8,131693,30,30,False,0.9978233049884587,0.9978398433588622,0.002176695011541274,182,1.0705882352941274
eixo4_resnet50_f075_s2,resnet50,75,2,dense,131693,30,28,False,0.9980027029289704,0.9980187594456138,0.00199729707102958,167,1.0121212121211856
eixo4_resnet50_f075_s2,resnet50,75,2,dense+trt-int8,131693,30,28,False,0.9980385825170727,0.9980580103841543,0.00196141748292733,164,1.0250000000000028
eixo4_resnet50_f100_s0,resnet50,100,0,dense,175591,30,28,False,0.9978831043019626,0.9979063187213808,0.002116895698037413,177,1.0
eixo4_resnet50_f100_s0,resnet50,100,0,dense+trt-int8,175591,30,28,False,0.9979309437527657,0.9979539382738655,0.002069056247234302,173,1.0
eixo4_resnet50_f100_s1,resnet50,100,1,dense,175591,30,28,False,0.9979429036154664,0.9979625112273582,0.002057096384533552,172,1.0
eixo4_resnet50_f100_s1,resnet50,100,1,dense+trt-int8,175591,30,28,False,0.9979668233408681,0.9979868726187823,0.002033176659131941,170,1.0
eixo4_resnet50_f100_s2,resnet50,100,2,dense,175591,30,27,False,0.9980266226543719,0.9980459839967509,0.00197337734562808,165,1.0
eixo4_resnet50_f100_s2,resnet50,100,2,dense+trt-int8,175591,30,27,False,0.9980864219678758,0.9981041816853714,0.001913578032124219,160,1.0
