arch,seed,cell,run,acc,f1_macro,error_rate,n_errors,error_ratio,params_total,params_nonzero,macs,artifact_bytes,lat_cpu_t1_b1,lat_cpu_t16_b1,lat_cpu_t16_b32,lat_gpu_eager_fp32_b1,lat_gpu_eager_fp16_b1,lat_gpu_trt_b1,lat_gpu_trt_b32,lat_gpu_trt_fp16_b1
resnet50,2,trt-int8,eixo1_resnet50_s2,0.9975003886955378,0.9975166058916882,0.0024996113044621904,209,1.1741573033707702,23544914,23544914,4109501440,25071156,,,,,,,,
densenet121,0,prune-50,eixo2_prune_densenet121_p50_s0,0.9980983818305765,0.9981154651751836,0.001901618169423469,159,0.9937500000000138,6972306,3527986,2864541184,16282574,,,,,,,,
densenet121,1,prune-50,eixo2_prune_densenet121_p50_s1,0.9979907430662696,0.9980095989622271,0.002009256933730441,168,1.0059880239521384,6972306,3527986,2864541184,16273339,,,,,,,,
densenet121,2,prune-50,eixo2_prune_densenet121_p50_s2,0.9981940607321828,0.9982121564208237,0.001805939267817247,151,0.904191616766508,6972306,3527986,2864541184,16278597,,,,,,,,
densenet121,0,prune-70,eixo2_prune_densenet121_p70_s0,0.9981103416932774,0.9981250246242792,0.001889658306722608,158,0.9874999999999695,6972306,2150258,2864541184,11311487,,,,,,,,
densenet121,1,prune-70,eixo2_prune_densenet121_p70_s1,0.9979548634781673,0.9979764379441262,0.002045136521832691,171,1.023952095808387,6972306,2150258,2864541184,11303795,,,,,,,,
densenet121,2,prune-70,eixo2_prune_densenet121_p70_s2,0.9981342614186789,0.9981556616811655,0.001865738581321108,156,0.9341317365269777,6972306,2150258,2864541184,11323260,,,,,,,,
densenet121,0,prune-90,eixo2_prune_densenet121_p90_s0,0.9980505423797735,0.9980643942060785,0.001949457620226469,163,1.0187499999999587,6972306,772530,2864541184,5940434,,,,,,,,
densenet121,0,prune-90+int8-cpu,eixo2_prune_densenet121_p90_s0,0.9973688302058292,0.9973882097761222,0.0026311697941707735,220,1.3749999999999856,6972306,772530,2864541184,8067223,,,,,,,,
densenet121,0,prune-90+trt-int8,eixo2_prune_densenet121_p90_s0,0.9971057132264122,0.9971240706238166,0.0028942867735878286,242,1.5124999999999724,6972306,772530,2864541184,15183340,,,,,,,,
densenet121,1,prune-90,eixo2_prune_densenet121_p90_s1,0.9978711444392618,0.9978899070298439,0.002128855560738163,178,1.0658682634730778,6972306,772530,2864541184,5934828,,,,,,,,
densenet121,2,prune-90,eixo2_prune_densenet121_p90_s2,0.9980146627916712,0.9980324787729304,0.00198533720832883,166,0.9940119760479171,6972306,772530,2864541184,5946071,,,,,,,,
densenet121,0,prune-95,eixo2_prune_densenet121_p95_s0,0.9976917464987501,0.9977062225172553,0.0023082535012498573,193,1.2062500000000094,6972306,428098,2864541184,4420853,,,,,,,,
densenet121,0,prune-95+int8-cpu,eixo2_prune_densenet121_p95_s0,0.9969741547367036,0.9969896352522714,0.0030258452632964117,253,1.581249999999995,6972306,428098,2864541184,8067223,,,,,,,,
densenet121,0,prune-95+trt-int8,eixo2_prune_densenet121_p95_s0,0.9963283221508618,0.9963452054757275,0.003671677849138244,307,1.918749999999947,6972306,428098,2864541184,15197116,,,,,,,,
densenet121,1,prune-95,eixo2_prune_densenet121_p95_s1,0.9975362682836401,0.9975506213554264,0.0024637317163599404,206,1.2335329341317862,6972306,428098,2864541184,4425584,,,,,,,,
