run       : eixo4_resnet50_f025_s1
arch      : resnet50 (pretrained=True)  seed=1
manifesto : v3 40f0951659609108...  mask=frac_25_s1
fit/val/test: 43,898 / 19,511 / 83,613 imgs  (6,360 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 457 | epochs 30 | warmup 2 ep | early stop patience 5
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 1/30: train 0.7886/0.7780 | val loss 0.0794 acc 0.9761 f1 0.9763 err 2.3884% * | 48s 913 img/s
val 2/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 2/30: train 0.0508/0.9847 | val loss 0.0530 acc 0.9841 f1 0.9840 err 1.5940% * | 41s 1083 img/s
val 3/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 3/30: train 0.0384/0.9886 | val loss 0.0522 acc 0.9859 f1 0.9859 err 1.4146% * | 41s 1077 img/s
val 4/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 4/30: train 0.0225/0.9927 | val loss 0.0443 acc 0.9872 f1 0.9872 err 1.2762% * | 40s 1086 img/s
val 5/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 5/30: train 0.0185/0.9944 | val loss 0.0325 acc 0.9912 f1 0.9912 err 0.8816% * | 41s 1082 img/s
val 6/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 6/30: train 0.0122/0.9958 | val loss 0.0225 acc 0.9938 f1 0.9939 err 0.6150% * | 41s 1079 img/s
val 7/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 7/30: train 0.0086/0.9974 | val loss 0.0259 acc 0.9931 f1 0.9931 err 0.6919%  | 41s 1078 img/s
val 8/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 8/30: train 0.0075/0.9976 | val loss 0.0256 acc 0.9932 f1 0.9932 err 0.6817%  | 41s 1083 img/s
val 9/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 9/30: train 0.0089/0.9972 | val loss 0.0275 acc 0.9924 f1 0.9924 err 0.7637%  | 40s 1087 img/s
val 10/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 10/30: train 0.0067/0.9979 | val loss 0.0239 acc 0.9952 f1 0.9952 err 0.4818% * | 41s 1080 img/s
val 11/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 11/30: train 0.0032/0.9988 | val loss 0.0302 acc 0.9932 f1 0.9932 err 0.6817%  | 41s 1078 img/s
val 12/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 12/30: train 0.0045/0.9985 | val loss 0.0258 acc 0.9933 f1 0.9933 err 0.6663%  | 41s 1082 img/s
val 13/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 13/30: train 0.0046/0.9985 | val loss 0.0233 acc 0.9945 f1 0.9945 err 0.5484%  | 41s 1076 img/s
val 14/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 14/30: train 0.0023/0.9992 | val loss 0.0202 acc 0.9951 f1 0.9951 err 0.4920%  | 40s 1084 img/s
val 15/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 15/30: train 0.0012/0.9997 | val loss 0.0188 acc 0.9962 f1 0.9962 err 0.3793% * | 40s 1084 img/s
val 16/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 16/30: train 0.0010/0.9997 | val loss 0.0207 acc 0.9960 f1 0.9960 err 0.4049%  | 40s 1086 img/s
val 17/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 17/30: train 0.0004/0.9999 | val loss 0.0193 acc 0.9960 f1 0.9960 err 0.3998%  | 41s 1080 img/s
val 18/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 18/30: train 0.0005/1.0000 | val loss 0.0199 acc 0.9964 f1 0.9964 err 0.3588% * | 41s 1078 img/s
val 19/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 19/30: train 0.0003/0.9999 | val loss 0.0198 acc 0.9962 f1 0.9962 err 0.3844%  | 40s 1084 img/s
val 20/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 20/30: train 0.0003/0.9999 | val loss 0.0211 acc 0.9963 f1 0.9963 err 0.3741%  | 40s 1085 img/s
val 21/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 21/30: train 0.0003/1.0000 | val loss 0.0199 acc 0.9964 f1 0.9964 err 0.3588% * | 41s 1082 img/s
val 22/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 22/30: train 0.0002/1.0000 | val loss 0.0197 acc 0.9965 f1 0.9965 err 0.3536% * | 40s 1084 img/s
val 23/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 23/30: train 0.0003/0.9999 | val loss 0.0193 acc 0.9963 f1 0.9963 err 0.3741%  | 42s 1053 img/s
val 24/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 24/30: train 0.0003/1.0000 | val loss 0.0187 acc 0.9962 f1 0.9962 err 0.3793%  | 42s 1046 img/s
val 25/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 25/30: train 0.0002/1.0000 | val loss 0.0198 acc 0.9965 f1 0.9965 err 0.3485% * | 42s 1053 img/s
val 26/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 26/30: train 0.0002/1.0000 | val loss 0.0197 acc 0.9964 f1 0.9964 err 0.3588%  | 42s 1051 img/s
val 27/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 27/30: train 0.0002/1.0000 | val loss 0.0193 acc 0.9965 f1 0.9965 err 0.3485%  | 42s 1053 img/s
val 28/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 28/30: train 0.0003/1.0000 | val loss 0.0198 acc 0.9965 f1 0.9965 err 0.3485% * | 42s 1053 img/s
val 29/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 29/30: train 0.0002/1.0000 | val loss 0.0199 acc 0.9964 f1 0.9964 err 0.3639%  | 42s 1049 img/s
val 30/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 30/30: train 0.0003/0.9999 | val loss 0.0197 acc 0.9963 f1 0.9963 err 0.3690%  | 42s 1052 img/s
test:   0%|          | 0/436 [00:00<?, ?it/s]
TESTE (best.pt, epoca 28): acc 0.9970  f1 0.9970  erro 0.3002% (251 / 83613)
-> runs/eixo4_resnet50_f025_s1/metrics.json
