epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.050862,0.994971,0.014761,0.996617,0.996633,0.003383,0.003391906864453026,173.12,1014.3,1
2,0.008737,0.998166,0.012949,0.996515,0.996536,0.003485,0.002454406864453026,163.66,1072.9,0
3,0.006496,0.998701,0.011503,0.996669,0.996683,0.003331,0.0012955931355469737,167.66,1047.3,1
4,0.005755,0.998684,0.011972,0.996822,0.996838,0.003178,0.00035809313554697374,166.61,1053.9,1
5,0.005271,0.998958,0.01202,0.997027,0.997043,0.002973,0.0,164.98,1064.3,1
