epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,1.827363,0.482372,0.357786,0.896981,0.896513,0.103019,0.018956043956043955,16.27,536.9,1
2,0.105028,0.969208,0.247418,0.929783,0.928606,0.070217,0.0375,8.64,1010.7,1
3,0.07247,0.97848,0.108534,0.967916,0.967973,0.032084,0.0373821039354983,8.63,1012.7,1
4,0.042364,0.986607,0.077526,0.977756,0.977804,0.022244,0.03702989835340919,8.6,1016.0,1
5,0.027063,0.991415,0.067499,0.981703,0.981756,0.018297,0.03644781244328189,8.52,1025.2,1
6,0.018348,0.994391,0.060179,0.982779,0.98274,0.017221,0.03564316627317036,8.54,1022.8,1
7,0.019841,0.994048,0.059327,0.984009,0.984002,0.015991,0.03462607873553033,8.76,997.8,1
8,0.0156,0.99565,0.066018,0.981959,0.981923,0.018041,0.03340934029627556,8.64,1011.6,0
9,0.009925,0.998054,0.050671,0.986777,0.986759,0.013223,0.032008252147247764,8.58,1018.1,1
10,0.005572,0.998283,0.045474,0.988622,0.988585,0.011378,0.030440433784851253,8.54,1022.8,1
11,0.007283,0.997711,0.045196,0.987853,0.987834,0.012147,0.02872560143466256,8.75,998.9,0
12,0.003383,0.999084,0.038841,0.990006,0.989975,0.009994,0.02688532010845421,8.63,1012.5,1
13,0.001231,1.0,0.037684,0.991031,0.991027,0.008969,0.024942732411659386,8.66,1008.9,1
14,0.000756,0.999886,0.03478,0.991543,0.991536,0.008457,0.022922267511680892,8.53,1024.7,1
15,0.000509,0.999886,0.03327,0.991851,0.991827,0.008149,0.02084933392693702,8.6,1015.9,1
16,0.000493,0.999886,0.032364,0.992466,0.992459,0.007534,0.01875,8.73,1001.1,1
17,0.000337,1.0,0.032032,0.992158,0.992141,0.007842,0.016650666073062977,8.39,1041.3,0
18,0.000475,0.999886,0.033896,0.991799,0.991778,0.008201,0.014577732488319105,8.68,1006.9,0
19,0.000231,1.0,0.033454,0.992107,0.992097,0.007893,0.012557267588340623,8.81,991.5,0
20,0.00051,0.999886,0.033278,0.991953,0.991942,0.008047,0.010614679891545785,8.49,1029.4,0
21,0.000797,0.999886,0.03319,0.99221,0.992194,0.00779,0.008774398565337441,8.73,1001.3,0
22,0.000414,0.999886,0.032596,0.992107,0.992089,0.007893,0.007059566215148747,16.31,535.5,0
23,0.000627,0.999771,0.032023,0.992056,0.992037,0.007944,0.005491747852752235,8.49,1029.1,0
24,0.000231,1.0,0.032688,0.99221,0.992194,0.00779,0.004090659703724441,8.59,1017.4,0
25,0.000214,1.0,0.032626,0.992107,0.992087,0.007893,0.0028739212644696725,8.61,1014.2,0
26,0.000209,1.0,0.032475,0.992363,0.992347,0.007637,0.001856833726829643,8.71,1003.1,0
27,0.000193,1.0,0.032282,0.992363,0.992356,0.007637,0.001052187556718108,8.56,1020.9,0
28,0.00022,1.0,0.032616,0.991851,0.991831,0.008149,0.0004701016465908071,8.65,1010.4,0
29,0.000337,1.0,0.032159,0.992005,0.991984,0.007995,0.00011789606450170116,8.73,1001.0,0
30,0.000254,1.0,0.032112,0.992005,0.99199,0.007995,0.0,8.59,1016.7,0
