epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.207311,0.96109,0.028254,0.992927,0.992925,0.007073,0.003391906864453026,170.33,1030.8,1
2,0.023948,0.994436,0.022201,0.994157,0.99416,0.005843,0.002454406864453026,163.18,1076.0,1
3,0.017041,0.996093,0.018432,0.995131,0.995153,0.004869,0.0012955931355469737,163.65,1072.9,1
4,0.013972,0.996782,0.017883,0.99508,0.995095,0.00492,0.00035809313554697374,163.65,1072.9,0
5,0.012905,0.996953,0.017878,0.995387,0.995412,0.004613,0.0,162.14,1082.9,1
