epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.015035,0.998872,0.013214,0.996976,0.996994,0.003024,0.003391906864453026,167.9,1045.8,1
2,0.004114,0.999277,0.012801,0.997079,0.997091,0.002921,0.002454406864453026,160.09,1096.8,1
3,0.003182,0.999408,0.012147,0.997335,0.997353,0.002665,0.0012955931355469737,160.38,1094.8,1
4,0.002926,0.999459,0.012143,0.997335,0.997349,0.002665,0.00035809313554697374,160.38,1094.8,0
5,0.002813,0.999487,0.011945,0.997335,0.99735,0.002665,0.0,160.39,1094.7,0
