epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.563199,0.844377,0.043083,0.987289,0.98722,0.012711,0.018770514223194746,88.62,990.1,1
2,0.039462,0.988125,0.058291,0.982061,0.982042,0.017939,0.0375,80.94,1084.0,0
3,0.028454,0.991498,0.032807,0.990518,0.990507,0.009482,0.0373821039354983,81.27,1079.7,1
4,0.016429,0.995213,0.030696,0.992056,0.992042,0.007944,0.03702989835340919,82.92,1058.2,1
5,0.016163,0.995236,0.03017,0.991748,0.991812,0.008252,0.03644781244328189,82.99,1057.3,0
6,0.013338,0.995863,0.023068,0.993593,0.993626,0.006407,0.03564316627317036,83.14,1055.4,1
7,0.010919,0.996706,0.022627,0.994567,0.994566,0.005433,0.03462607873553033,83.11,1055.8,1
8,0.00972,0.997128,0.021437,0.99426,0.994274,0.00574,0.03340934029627556,83.02,1056.9,0
9,0.007286,0.997971,0.022478,0.994311,0.994333,0.005689,0.032008252147247764,83.14,1055.4,0
10,0.007809,0.997618,0.021486,0.994823,0.994834,0.005177,0.030440433784851253,82.91,1058.3,1
11,0.005753,0.998177,0.019007,0.995233,0.995245,0.004767,0.02872560143466256,83.04,1056.6,1
12,0.005301,0.998473,0.019066,0.995028,0.995054,0.004972,0.02688532010845421,83.06,1056.4,0
13,0.003872,0.998746,0.02477,0.99385,0.99388,0.00615,0.024942732411659386,83.5,1050.9,0
14,0.003718,0.998997,0.020739,0.995438,0.995446,0.004562,0.022922267511680892,85.33,1028.2,1
15,0.003337,0.999043,0.021572,0.995695,0.995723,0.004305,0.02084933392693702,85.05,1031.7,1
16,0.002661,0.999168,0.023534,0.994823,0.994849,0.005177,0.01875,85.04,1031.8,0
17,0.002404,0.999271,0.018392,0.995438,0.995454,0.004562,0.016650666073062977,85.5,1026.3,0
18,0.001177,0.999692,0.017897,0.996002,0.996017,0.003998,0.014577732488319105,85.79,1022.8,1
19,0.000705,0.999829,0.01908,0.996259,0.996276,0.003741,0.012557267588340623,85.5,1026.2,1
20,0.000586,0.999852,0.018741,0.996054,0.996074,0.003946,0.010614679891545785,83.11,1055.7,0
21,0.00034,0.999943,0.018498,0.996054,0.99607,0.003946,0.008774398565337441,80.78,1086.2,0
22,0.00039,0.999909,0.018619,0.996361,0.996373,0.003639,0.007059566215148747,80.3,1092.8,1
23,0.000354,0.999943,0.018157,0.99631,0.996324,0.00369,0.005491747852752235,80.37,1091.8,0
24,0.000245,0.999966,0.018766,0.996156,0.996171,0.003844,0.004090659703724441,80.02,1096.6,0
25,0.000193,0.999977,0.01884,0.996207,0.996219,0.003793,0.0028739212644696725,80.18,1094.4,0
26,0.000223,0.999977,0.01801,0.996259,0.996272,0.003741,0.001856833726829643,80.53,1089.6,0
27,0.000208,0.999977,0.018261,0.99631,0.996325,0.00369,0.001052187556718108,80.49,1090.1,0
28,0.000191,0.999977,0.018572,0.99631,0.996323,0.00369,0.0004701016465908071,87.99,997.2,0
29,0.000233,0.999954,0.018077,0.99631,0.996323,0.00369,0.00011789606450170116,80.22,1093.7,0
30,0.000175,1.0,0.018178,0.996361,0.996375,0.003639,0.0,80.34,1092.2,1
