epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.005366,0.999294,0.01383,0.996669,0.996677,0.003331,0.003391906864453026,216.13,812.4,1
2,0.002546,0.999573,0.012784,0.996822,0.996835,0.003178,0.002454406864453026,205.18,855.7,1
3,0.002038,0.999641,0.013088,0.99713,0.997138,0.00287,0.0012955931355469737,205.63,853.9,1
4,0.001789,0.999704,0.013455,0.99713,0.997144,0.00287,0.00035809313554697374,202.54,866.9,1
5,0.001616,0.999749,0.013356,0.997181,0.997195,0.002819,0.0,201.17,872.8,1
