epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.258855,0.931059,0.037785,0.989134,0.98919,0.010866,0.018760251503553853,210.17,835.4,1
2,0.031862,0.990529,0.027431,0.993081,0.993094,0.006919,0.0375,198.43,884.9,1
3,0.022707,0.993524,0.021212,0.99344,0.993429,0.00656,0.0373821039354983,198.48,884.7,1
4,0.016617,0.995148,0.030041,0.992005,0.991983,0.007995,0.03702989835340919,198.54,884.4,0
5,0.014487,0.99582,0.019362,0.994413,0.994425,0.005587,0.03644781244328189,198.29,885.5,1
6,0.011163,0.996714,0.022399,0.992927,0.992917,0.007073,0.03564316627317036,198.41,885.0,0
7,0.010832,0.99689,0.018946,0.994875,0.994834,0.005125,0.03462607873553033,198.38,885.1,1
8,0.010077,0.997209,0.016897,0.995951,0.995977,0.004049,0.03340934029627556,198.32,885.4,1
9,0.009335,0.997403,0.020202,0.994567,0.994576,0.005433,0.032008252147247764,198.59,884.2,0
10,0.009219,0.997477,0.020186,0.994413,0.994409,0.005587,0.030440433784851253,198.18,886.0,0
11,0.007748,0.997916,0.018858,0.99426,0.99428,0.00574,0.02872560143466256,198.51,884.5,0
12,0.007326,0.998058,0.014963,0.995695,0.995704,0.004305,0.02688532010845421,198.42,884.9,0
13,0.006751,0.998189,0.014408,0.996054,0.996072,0.003946,0.024942732411659386,198.43,884.9,1
14,0.005452,0.998588,0.015092,0.996207,0.996213,0.003793,0.022922267511680892,198.36,885.2,1
15,0.005964,0.99828,0.012347,0.996617,0.996609,0.003383,0.02084933392693702,198.46,884.7,1
16,0.004885,0.998758,0.014129,0.996259,0.996272,0.003741,0.01875,198.38,885.1,0
17,0.003961,0.998958,0.015407,0.996002,0.996031,0.003998,0.016650666073062977,198.33,885.3,0
18,0.003039,0.999208,0.013129,0.997027,0.997038,0.002973,0.014577732488319105,198.5,884.5,1
19,0.002062,0.99951,0.013648,0.996464,0.996474,0.003536,0.012557267588340623,198.1,886.3,0
20,0.002136,0.99947,0.012629,0.996617,0.996626,0.003383,0.010614679891545785,198.56,884.3,0
21,0.001825,0.999533,0.013866,0.996566,0.996579,0.003434,0.008774398565337441,198.15,886.1,0
22,0.001258,0.999698,0.014458,0.996925,0.996932,0.003075,0.007059566215148747,198.49,884.6,0
23,0.00111,0.999766,0.012774,0.99713,0.997141,0.00287,0.005491747852752235,198.35,885.2,1
24,0.000776,0.999846,0.014527,0.996925,0.996939,0.003075,0.004090659703724441,198.3,885.5,0
25,0.000649,0.999892,0.01479,0.996925,0.996937,0.003075,0.0028739212644696725,198.56,884.3,0
26,0.000636,0.99988,0.015122,0.996771,0.996785,0.003229,0.001856833726829643,198.17,886.0,0
27,0.000496,0.999943,0.014678,0.997079,0.997094,0.002921,0.001052187556718108,198.25,885.7,0
28,0.000453,0.999949,0.014788,0.997027,0.99704,0.002973,0.0004701016465908071,198.53,884.4,0
29,0.000465,0.999937,0.014669,0.997027,0.99704,0.002973,0.00011789606450170116,198.41,885.0,0
30,0.000496,0.999932,0.014891,0.996925,0.996937,0.003075,0.0,198.59,884.1,0
