epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.001336,0.999823,0.012836,0.99713,0.997147,0.00287,0.003391906864453026,171.64,1023.0,1
2,0.000845,0.999863,0.012704,0.996874,0.996898,0.003126,0.002454406864453026,163.33,1075.0,0
3,0.000726,0.999869,0.01279,0.996925,0.996948,0.003075,0.0012955931355469737,163.99,1070.7,0
4,0.000698,0.999886,0.01324,0.99713,0.997151,0.00287,0.00035809313554697374,164.21,1069.3,1
5,0.000644,0.999886,0.013175,0.997027,0.997052,0.002973,0.0,164.95,1064.5,0
