method,arch,sparsity,seed,run,acc,f1_macro,error_rate,n_errors,error_ratio,sparsity_achieved,best_epoch,epochs,gpu_min
depois (treino → poda → fine-tuning 5 ép.),resnet50,98,2,eixo2_prune_resnet50_p98_s2,0.9962206833865547,0.9962271123503823,0.003779316613445327,316,1.7752808988764273,0.9799999795673175,5,5,13.448833333333333
antes (poda ImageNet → treino 30 ép.),densenet121,50,0,eixo2b_prunefirst_densenet121_p50_s0,0.9979668233408681,0.9979874171114482,0.002033176659131941,170,1.0624999999999782,0.5,23,30,99.39400000000002
antes (poda ImageNet → treino 30 ép.),densenet121,70,0,eixo2b_prunefirst_densenet121_p70_s0,0.9979548634781673,0.9979750986837179,0.002045136521832691,171,1.0687499999999646,0.7000000582224003,26,30,99.38433333333333
antes (poda ImageNet → treino 30 ép.),densenet121,90,0,eixo2b_prunefirst_densenet121_p90_s0,0.9978711444392618,0.9978870489099742,0.002128855560738163,178,1.112499999999984,0.8999999708887999,22,30,100.52066666666666
antes (poda ImageNet → treino 30 ép.),densenet121,95,0,eixo2b_prunefirst_densenet121_p95_s0,0.9975841077344432,0.9975997326635151,0.0024158922655568293,202,1.2625000000000015,0.9500000582224003,25,30,101.27449999999999
antes (poda ImageNet → treino 30 ép.),densenet121,98,0,eixo2b_prunefirst_densenet121_p98_s0,0.9968545561096959,0.9968723112679557,0.0031454438903041337,263,1.6437499999999732,0.9800000232889601,29,30,99.07366666666665
antes (poda ImageNet → treino 30 ép.),resnet50,50,0,eixo2b_prunefirst_resnet50_p50_s0,0.9978950641646633,0.9979120258668218,0.002104935835336663,176,0.9943502824858882,0.5,29,30,80.80333333333333
antes (poda ImageNet → treino 30 ép.),resnet50,70,0,eixo2b_prunefirst_resnet50_p70_s0,0.9976199873225455,0.997644201112784,0.0023800126774544683,199,1.1242937853107229,0.699999982946003,20,30,80.66083333333334
antes (poda ImageNet → treino 30 ép.),resnet50,90,0,eixo2b_prunefirst_resnet50_p90_s0,0.9977156662241518,0.9977334139639648,0.0022843337758482463,191,1.0790960451977232,0.9000000085269986,22,30,84.7585
antes (poda ImageNet → treino 30 ép.),resnet50,95,0,eixo2b_prunefirst_resnet50_p95_s0,0.9975721478717424,0.9975870478901735,0.0024278521282575793,203,1.1468926553672227,0.949999982946003,25,30,81.718
antes (poda ImageNet → treino 30 ép.),resnet50,98,0,eixo2b_prunefirst_resnet50_p98_s0,0.9971176730891129,0.9971316774679655,0.0028823269108870786,241,1.361581920903945,0.9800000102323982,24,30,80.89183333333334
"controle (treino → poda → 30 ép., LR rewinding)",densenet121,95,0,eixo2c_rewind_densenet121_p95_s0,0.9975601880090417,0.9975792066913015,0.0024398119909583293,204,1.274999999999974,0.95,19,30,99.2845
"controle (treino → poda → 30 ép., LR rewinding)",densenet121,98,0,eixo2c_rewind_densenet121_p98_s0,0.9974525492447347,0.9974688259617517,0.0025474507552653014,213,1.3312499999999658,0.979999970966693,25,30,112.64399999999999
"controle (treino → poda → 30 ép., LR rewinding)",resnet50,95,0,eixo2c_rewind_resnet50_p95_s0,0.9975123485582386,0.9975302147025469,0.0024876514417614404,208,1.1751412429378345,0.9499999914863823,21,30,87.68766666666667
"controle (treino → poda → 30 ép., LR rewinding)",resnet50,98,0,eixo2c_rewind_resnet50_p98_s0,0.9976797866360494,0.9976989086390058,0.0023202133639506073,194,1.096045197740111,0.9799999795673175,30,30,92.49683333333334
