arch,sparsity_target,n_seeds,acc_mean,f1_mean,err_mean,err_std,err_ratio_mean,err_ratio_std,params_nonzero,gzip_mib,gzip_ratio_vs_baseline
densenet121,0.5,3,0.9980943952096762,0.9981124068527448,0.001905604790323719,0.00010171744283921529,0.96797654690622,0.05557724617376384,3527986.0,15.524072647094727,0.6141434267607846
densenet121,0.7,3,0.9980664888633745,0.9980857080831903,0.0019335111366254691,9.740743443298528e-05,0.9818612774451113,0.0451748893678597,2150258.0,10.788771947224935,0.42681154132896615
densenet121,0.9,3,0.9979787832035688,0.9979955933362842,0.0020212167964311543,9.492846726221625e-05,1.026210079840318,0.036504398420604454,772530.0,5.665249188741048,0.22412131335125615
densenet121,0.95,3,0.9976518802897476,0.9976679159917395,0.002348119710252431,0.00010171744283922399,1.1925024950100114,0.049361493033984495,428098.0,4.218521436055501,0.16688772782107572
densenet121,0.98,3,0.9967469173453889,0.9967625087140458,0.003253082654611106,0.00014100470169172477,1.6516217564870332,0.04944066726052712,221439.0,3.239525477091471,0.12815794687434393
resnet50,0.5,3,0.9979907430662696,0.9980119222305103,0.0020092569337304043,6.328564484144944e-05,0.9697735303905524,0.028836050019788454,11799026.0,51.03156344095866,0.60951864092053
resnet50,0.7,3,0.9979708099617683,0.9979895955738685,0.002029190038231654,7.307596817012408e-05,0.9790845033846116,0.015949121026609205,7100671.0,34.836685498555504,0.4160877654438682
resnet50,0.9,3,0.9977316127077528,0.9977504609427211,0.0022683872922472093,3.009832775313635e-05,1.0951437821367254,0.03317537192963189,2402316.0,17.169538815816242,0.20507218001181443
resnet50,0.95,3,0.997348897101328,0.9973662633186732,0.0026511028986720233,9.592774182258249e-05,1.2803587195512314,0.07053535860208525,1227727.0,12.121810913085938,0.14478235066789466
resnet50,0.98,3,0.9960771650341455,0.996091224363739,0.0039228349658545865,0.0001809855638527283,1.8970162489492004,0.1697360204200141,522974.0,8.780723889668783,0.10487656130154427
