epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.050288,0.995313,0.01536,0.996361,0.996379,0.003639,0.003391906864453026,169.98,1032.9,1
2,0.008568,0.998206,0.013489,0.99672,0.996739,0.00328,0.002454406864453026,162.41,1081.1,1
3,0.006592,0.998639,0.01277,0.996874,0.996893,0.003126,0.0012955931355469737,162.43,1081.0,1
4,0.005539,0.998821,0.012783,0.996925,0.996945,0.003075,0.00035809313554697374,162.53,1080.3,1
5,0.005264,0.998889,0.012712,0.996874,0.996894,0.003126,0.0,162.05,1083.5,0
